question_ID,source,stage,reference_step,predicted_step,reference_role,predicted_role,role_correct,step_exact,step_within_5,absolute_step_error,steps,method,step_confidence,call_log_directory
swe_bench_pro__022,swe_bench_pro,reduction_drop,23,38,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,15,138,segmented_choice,0.23,results/full/calls/swe_bench_pro__022
swe_bench_pro__023,swe_bench_pro,reduction_drop,37,39,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,False,True,2,164,segmented_choice,0.17,results/full/calls/swe_bench_pro__023
swe_bench_pro__024,swe_bench_pro,reduction_drop,44,73,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,29,338,segmented_choice,0.51,results/full/calls/swe_bench_pro__024
swe_bench_pro__025,swe_bench_pro,reduction_drop,42,20,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,False,False,22,215,segmented_choice,0.51,results/full/calls/swe_bench_pro__025
swe_bench_pro__026,swe_bench_pro,reduction_drop,31,90,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,59,182,segmented_choice,0.88,results/full/calls/swe_bench_pro__026
swe_bench_pro__027,swe_bench_pro,reduction_drop,203,111,ActionAgent,ActionAgent,True,False,False,92,355,segmented_choice,0.24,results/full/calls/swe_bench_pro__027
swe_bench_pro__028,swe_bench_pro,reduction_drop,102,109,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,7,322,segmented_choice,0.65,results/full/calls/swe_bench_pro__028
swe_bench_pro__029,swe_bench_pro,final_wrong,106,15,ActionAgent,DiagnostAgent,False,False,False,91,248,segmented_choice,0.16,results/full/calls/swe_bench_pro__029
swe_bench_pro__030,swe_bench_pro,correct,42,42,ActionAgent,ActionAgent,True,True,True,0,96,segmented_choice,0.46,results/full/calls/swe_bench_pro__030
swe_bench_pro__031,swe_bench_pro,reduction_drop,25,122,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,97,294,segmented_choice,0.29,results/full/calls/swe_bench_pro__031
swe_bench_pro__032,swe_bench_pro,final_wrong,60,9,ActionAgent,DiagnostAgent,False,False,False,51,96,segmented_choice,0.42,results/full/calls/swe_bench_pro__032
swe_bench_pro__033,swe_bench_pro,reduction_drop,99,193,ActionAgent,DiagnostAgent,False,False,False,94,334,segmented_choice,0.17,results/full/calls/swe_bench_pro__033
swe_bench_pro__034,swe_bench_pro,reduction_drop,66,149,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,83,189,segmented_choice,0.24,results/full/calls/swe_bench_pro__034
swe_bench_pro__035,swe_bench_pro,final_wrong,25,62,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,37,140,segmented_choice,0.73,results/full/calls/swe_bench_pro__035
swe_bench_pro__036,swe_bench_pro,recall_miss,25,89,DiagnostAgent,JudgeAgent,False,False,False,64,204,segmented_choice,0.23,results/full/calls/swe_bench_pro__036
swe_bench_pro__037,swe_bench_pro,final_wrong,19,97,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,78,114,segmented_choice,0.25,results/full/calls/swe_bench_pro__037
swe_bench_pro__038,swe_bench_pro,final_wrong,121,24,JudgeAgent,JudgeAgent,True,False,False,97,142,segmented_choice,0.11,results/full/calls/swe_bench_pro__038
swe_bench_pro__039,swe_bench_pro,reduction_drop,43,70,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,27,645,segmented_choice,0.21,results/full/calls/swe_bench_pro__039
swe_bench_pro__040,swe_bench_pro,final_wrong,23,34,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,11,150,segmented_choice,0.82,results/full/calls/swe_bench_pro__040
swe_bench_pro__041,swe_bench_pro,reduction_drop,148,100,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,48,275,segmented_choice,0.48,results/full/calls/swe_bench_pro__041
swe_bench_pro__042,swe_bench_pro,reduction_drop,22,27,ActionAgent,ActionAgent,True,False,True,5,146,segmented_choice,0.64,results/full/calls/swe_bench_pro__042
swe_bench_pro__043,swe_bench_pro,reduction_drop,72,570,ActionAgent,DiagnostAgent,False,False,False,498,634,segmented_choice,0.27,results/full/calls/swe_bench_pro__043
swe_bench_pro__044,swe_bench_pro,correct,57,57,DiagnostAgent (-> ActionAgent),ActionAgent,False,True,True,0,335,segmented_choice,0.22,results/full/calls/swe_bench_pro__044
swe_bench_pro__045,swe_bench_pro,reduction_drop,48,194,ActionAgent,ActionAgent,True,False,False,146,299,segmented_choice,0.1,results/full/calls/swe_bench_pro__045
swe_bench_pro__046,swe_bench_pro,final_wrong,39,102,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,63,355,segmented_choice,0.32,results/full/calls/swe_bench_pro__046
swe_bench_pro__047,swe_bench_pro,recall_miss,133,19,ActionAgent,ActionAgent,True,False,False,114,250,segmented_choice,0.45,results/full/calls/swe_bench_pro__047
swe_bench_pro__048,swe_bench_pro,reduction_drop,33,31,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,False,True,2,126,segmented_choice,0.6,results/full/calls/swe_bench_pro__048
swe_bench_pro__049,swe_bench_pro,final_wrong,44,101,ActionAgent,JudgeAgent,False,False,False,57,140,segmented_choice,0.62,results/full/calls/swe_bench_pro__049
swe_bench_pro__050,swe_bench_pro,final_wrong,54,104,ActionAgent,ActionAgent,True,False,False,50,355,segmented_choice,0.13,results/full/calls/swe_bench_pro__050
swe_bench_pro__051,swe_bench_pro,final_wrong,35,133,DiagnostAgent,ActionAgent,False,False,False,98,226,segmented_choice,0.5,results/full/calls/swe_bench_pro__051
swe_bench_pro__052,swe_bench_pro,final_wrong,204,50,ActionAgent,ActionAgent,True,False,False,154,393,segmented_choice,0.51,results/full/calls/swe_bench_pro__052
swe_bench_pro__053,swe_bench_pro,reduction_drop,181,365,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,184,455,segmented_choice,0.38,results/full/calls/swe_bench_pro__053
swe_bench_pro__054,swe_bench_pro,reduction_drop,51,152,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,101,195,segmented_choice,0.14,results/full/calls/swe_bench_pro__054
swe_bench_pro__055,swe_bench_pro,recall_miss,70,50,ActionAgent,ActionAgent,True,False,False,20,164,segmented_choice,0.23,results/full/calls/swe_bench_pro__055
swe_bench_pro__056,swe_bench_pro,reduction_drop,45,122,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,77,367,segmented_choice,0.42,results/full/calls/swe_bench_pro__056
swe_bench_pro__057,swe_bench_pro,reduction_drop,80,123,DiagnostAgent,ActionAgent,False,False,False,43,358,segmented_choice,0.44,results/full/calls/swe_bench_pro__057
swe_bench_pro__058,swe_bench_pro,correct,40,40,ActionAgent,ActionAgent,True,True,True,0,180,segmented_choice,0.56,results/full/calls/swe_bench_pro__058
swe_bench_pro__059,swe_bench_pro,reduction_drop,19,158,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,139,229,segmented_choice,0.54,results/full/calls/swe_bench_pro__059
swe_bench_pro__060,swe_bench_pro,recall_miss,215,27,ActionAgent,DiagnostAgent,False,False,False,188,439,segmented_choice,0.64,results/full/calls/swe_bench_pro__060
swe_bench_pro__061,swe_bench_pro,correct,37,37,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,True,True,0,158,segmented_choice,0.56,results/full/calls/swe_bench_pro__061
swe_bench_pro__062,swe_bench_pro,reduction_drop,41,66,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,25,245,segmented_choice,0.29,results/full/calls/swe_bench_pro__062
swe_bench_pro__063,swe_bench_pro,reduction_drop,43,112,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,69,274,segmented_choice,0.6,results/full/calls/swe_bench_pro__063
swe_bench_pro__064,swe_bench_pro,reduction_drop,39,76,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,False,False,37,480,segmented_choice,0.42,results/full/calls/swe_bench_pro__064
swe_bench_pro__065,swe_bench_pro,recall_miss,43,42,ActionAgent,ActionAgent,True,False,True,1,230,segmented_choice,0.7,results/full/calls/swe_bench_pro__065
swe_bench_pro__066,swe_bench_pro,recall_miss,317,0,JudgeAgent,DiagnostAgent,False,False,False,317,385,segmented_choice,0.15,results/full/calls/swe_bench_pro__066
swe_bench_pro__067,swe_bench_pro,reduction_drop,104,133,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,29,436,segmented_choice,0.8,results/full/calls/swe_bench_pro__067
swe_bench_pro__068,swe_bench_pro,final_wrong,37,114,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,77,231,segmented_choice,0.91,results/full/calls/swe_bench_pro__068
swe_bench_pro__069,swe_bench_pro,reduction_drop,25,34,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,9,150,segmented_choice,0.78,results/full/calls/swe_bench_pro__069
swe_bench_pro__070,swe_bench_pro,correct,23,23,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,True,True,0,257,segmented_choice,0.52,results/full/calls/swe_bench_pro__070
swe_bench_pro__071,swe_bench_pro,final_wrong,27,89,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,62,162,segmented_choice,0.44,results/full/calls/swe_bench_pro__071
swe_bench_pro__072,swe_bench_pro,recall_miss,46,48,ActionAgent,ActionAgent,True,False,True,2,178,segmented_choice,0.51,results/full/calls/swe_bench_pro__072
swe_bench_pro__073,swe_bench_pro,reduction_drop,67,39,ActionAgent,ActionAgent,True,False,False,28,330,segmented_choice,0.6,results/full/calls/swe_bench_pro__073
swe_bench_pro__074,swe_bench_pro,reduction_drop,205,47,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,158,661,segmented_choice,0.25,results/full/calls/swe_bench_pro__074
swe_bench_pro__075,swe_bench_pro,reduction_drop,206,146,JudgeAgent,JudgeAgent,True,False,False,60,220,segmented_choice,0.52,results/full/calls/swe_bench_pro__075
swe_bench_pro__076,swe_bench_pro,final_wrong,43,193,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,150,196,segmented_choice,0.11,results/full/calls/swe_bench_pro__076
swe_bench_pro__077,swe_bench_pro,recall_miss,92,70,ActionAgent,DiagnostAgent,False,False,False,22,444,segmented_choice,0.31,results/full/calls/swe_bench_pro__077
swe_bench_pro__078,swe_bench_pro,final_wrong,48,119,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,71,279,segmented_choice,0.75,results/full/calls/swe_bench_pro__078
swe_bench_pro__079,swe_bench_pro,reduction_drop,47,78,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,31,220,segmented_choice,0.16,results/full/calls/swe_bench_pro__079
swe_bench_pro__080,swe_bench_pro,correct,17,17,DiagnostAgent (-> ActionAgent),JudgeAgent,False,True,True,0,96,segmented_choice,0.13,results/full/calls/swe_bench_pro__080
swe_bench_pro__081,swe_bench_pro,final_wrong,72,188,ActionAgent,ActionAgent,True,False,False,116,561,segmented_choice,0.14,results/full/calls/swe_bench_pro__081
swe_bench_pro__082,swe_bench_pro,correct,25,25,DiagnostAgent (-> ActionAgent),ActionAgent,False,True,True,0,92,segmented_choice,0.38,results/full/calls/swe_bench_pro__082
swe_bench_pro__083,swe_bench_pro,reduction_drop,76,23,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,False,False,53,354,segmented_choice,0.14,results/full/calls/swe_bench_pro__083
swe_bench_pro__084,swe_bench_pro,final_wrong,77,222,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,145,559,segmented_choice,0.62,results/full/calls/swe_bench_pro__084
swe_bench_pro__085,swe_bench_pro,reduction_drop,39,578,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,539,645,segmented_choice,0.38,results/full/calls/swe_bench_pro__085
swe_bench_pro__086,swe_bench_pro,correct,39,39,DiagnostAgent (-> ActionAgent),ActionAgent,False,True,True,0,148,segmented_choice,0.18,results/full/calls/swe_bench_pro__086
swe_bench_pro__087,swe_bench_pro,reduction_drop,29,40,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,11,142,segmented_choice,0.77,results/full/calls/swe_bench_pro__087
swe_bench_pro__088,swe_bench_pro,reduction_drop,36,231,ActionAgent,ActionAgent,True,False,False,195,382,segmented_choice,0.21,results/full/calls/swe_bench_pro__088
swe_bench_pro__089,swe_bench_pro,final_wrong,91,222,ActionAgent,JudgeAgent,False,False,False,131,262,segmented_choice,0.28,results/full/calls/swe_bench_pro__089
swe_bench_pro__090,swe_bench_pro,final_wrong,34,46,ActionAgent,ActionAgent,True,False,False,12,318,segmented_choice,0.43,results/full/calls/swe_bench_pro__090
swe_bench_pro__091,swe_bench_pro,reduction_drop,169,480,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,False,False,311,728,segmented_choice,0.45,results/full/calls/swe_bench_pro__091
swe_bench_pro__092,swe_bench_pro,recall_miss,264,52,ActionAgent,JudgeAgent,False,False,False,212,402,segmented_choice,0.08,results/full/calls/swe_bench_pro__092
swe_bench_pro__093,swe_bench_pro,reduction_drop,399,50,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,349,555,segmented_choice,0.65,results/full/calls/swe_bench_pro__093
swe_bench_pro__094,swe_bench_pro,reduction_drop,35,110,DiagnostAgent,ActionAgent,False,False,False,75,184,segmented_choice,0.69,results/full/calls/swe_bench_pro__094
swe_bench_pro__095,swe_bench_pro,reduction_drop,21,148,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,127,325,segmented_choice,0.29,results/full/calls/swe_bench_pro__095
swe_bench_pro__096,swe_bench_pro,final_wrong,38,336,ActionAgent,JudgeAgent,False,False,False,298,480,segmented_choice,0.12,results/full/calls/swe_bench_pro__096
swe_bench_pro__097,swe_bench_pro,reduction_drop,119,208,ActionAgent,ActionAgent,True,False,False,89,326,segmented_choice,0.55,results/full/calls/swe_bench_pro__097
swe_bench_pro__098,swe_bench_pro,recall_miss,50,17,ActionAgent,DiagnostAgent,False,False,False,33,237,segmented_choice,0.27,results/full/calls/swe_bench_pro__098
swe_bench_pro__099,swe_bench_pro,reduction_drop,434,30,ActionAgent,DiagnostAgent,False,False,False,404,501,segmented_choice,0.3,results/full/calls/swe_bench_pro__099
swe_bench_pro__100,swe_bench_pro,recall_miss,28,34,ActionAgent,ActionAgent,True,False,False,6,236,segmented_choice,0.63,results/full/calls/swe_bench_pro__100
swe_bench_pro__101,swe_bench_pro,reduction_drop,179,57,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,122,378,segmented_choice,0.4,results/full/calls/swe_bench_pro__101
swe_bench_pro__102,swe_bench_pro,reduction_drop,56,80,ActionAgent,ActionAgent,True,False,False,24,357,segmented_choice,0.49,results/full/calls/swe_bench_pro__102
swe_bench_pro__103,swe_bench_pro,correct,54,54,ActionAgent,ActionAgent,True,True,True,0,140,segmented_choice,0.41,results/full/calls/swe_bench_pro__103
swe_bench_pro__104,swe_bench_pro,correct,29,29,DiagnostAgent (-> ActionAgent),JudgeAgent,False,True,True,0,265,segmented_choice,0.17,results/full/calls/swe_bench_pro__104
swe_bench_pro__105,swe_bench_pro,reduction_drop,6,30,Computer_terminal,ActionAgent,False,False,False,24,317,segmented_choice,0.29,results/full/calls/swe_bench_pro__105
swe_bench_pro__106,swe_bench_pro,reduction_drop,37,127,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,90,194,segmented_choice,0.6,results/full/calls/swe_bench_pro__106
swe_bench_pro__107,swe_bench_pro,final_wrong,82,92,ActionAgent,ActionAgent,True,False,False,10,324,segmented_choice,0.41,results/full/calls/swe_bench_pro__107
swe_bench_pro__108,swe_bench_pro,reduction_drop,169,36,ActionAgent,ActionAgent,True,False,False,133,617,segmented_choice,0.32,results/full/calls/swe_bench_pro__108
swe_bench_pro__109,swe_bench_pro,reduction_drop,50,117,ActionAgent,ActionAgent,True,False,False,67,646,segmented_choice,0.26,results/full/calls/swe_bench_pro__109
swe_bench_pro__110,swe_bench_pro,recall_miss,333,86,JudgeAgent,ActionAgent,False,False,False,247,366,segmented_choice,0.21,results/full/calls/swe_bench_pro__110
swe_bench_pro__111,swe_bench_pro,reduction_drop,27,54,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,27,196,segmented_choice,0.24,results/full/calls/swe_bench_pro__111
swe_bench_pro__112,swe_bench_pro,final_wrong,13,30,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,17,106,segmented_choice,0.33,results/full/calls/swe_bench_pro__112
swe_bench_pro__113,swe_bench_pro,final_wrong,21,32,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,11,226,segmented_choice,0.14,results/full/calls/swe_bench_pro__113
swe_bench_pro__114,swe_bench_pro,reduction_drop,21,10,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,11,114,segmented_choice,0.47,results/full/calls/swe_bench_pro__114
swe_bench_pro__115,swe_bench_pro,final_wrong,45,58,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,13,164,segmented_choice,0.32,results/full/calls/swe_bench_pro__115
swe_bench_pro__116,swe_bench_pro,final_wrong,17,123,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,106,277,segmented_choice,0.43,results/full/calls/swe_bench_pro__116
swe_bench_pro__117,swe_bench_pro,final_wrong,51,70,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,19,158,segmented_choice,0.2,results/full/calls/swe_bench_pro__117
swe_bench_pro__118,swe_bench_pro,final_wrong,31,44,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,13,122,segmented_choice,0.22,results/full/calls/swe_bench_pro__118
swe_bench_pro__119,swe_bench_pro,reduction_drop,21,179,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,158,182,segmented_choice,0.57,results/full/calls/swe_bench_pro__119
swe_bench_pro__120,swe_bench_pro,reduction_drop,64,32,DiagnostAgent,ActionAgent,False,False,False,32,425,segmented_choice,0.17,results/full/calls/swe_bench_pro__120
swe_bench_pro__121,swe_bench_pro,final_wrong,15,20,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,True,5,280,segmented_choice,0.42,results/full/calls/swe_bench_pro__121
swe_bench_pro__122,swe_bench_pro,correct,33,33,DiagnostAgent (-> ActionAgent),ActionAgent,False,True,True,0,503,segmented_choice,0.32,results/full/calls/swe_bench_pro__122
swe_bench_pro__123,swe_bench_pro,correct,33,33,DiagnostAgent (-> ActionAgent),ActionAgent,False,True,True,0,146,segmented_choice,0.31,results/full/calls/swe_bench_pro__123
swe_bench_pro__124,swe_bench_pro,reduction_drop,52,53,ActionAgent,ActionAgent,True,False,True,1,366,segmented_choice,0.41,results/full/calls/swe_bench_pro__124
swe_bench_pro__125,swe_bench_pro,final_wrong,35,97,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,62,270,segmented_choice,0.13,results/full/calls/swe_bench_pro__125
swe_bench_pro__126,swe_bench_pro,final_wrong,17,37,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,20,196,segmented_choice,0.34,results/full/calls/swe_bench_pro__126
swe_bench_pro__127,swe_bench_pro,correct,100,100,ActionAgent,ActionAgent,True,True,True,0,162,segmented_choice,0.75,results/full/calls/swe_bench_pro__127
swe_bench_pro__128,swe_bench_pro,reduction_drop,64,32,ActionAgent,ActionAgent,True,False,False,32,156,segmented_choice,0.33,results/full/calls/swe_bench_pro__128
terminal_bench_2__001,terminal_bench_2,final_wrong,212,213,ActionAgent,ActionAgent,True,False,True,1,390,segmented_choice,0.22,results/full/calls/terminal_bench_2__001
terminal_bench_2__002,terminal_bench_2,final_wrong,64,49,ActionAgent,DiagnostAgent,False,False,False,15,496,segmented_choice,0.49,results/full/calls/terminal_bench_2__002
terminal_bench_2__003,terminal_bench_2,final_wrong,10,13,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,True,3,46,segmented_choice,0.46,results/full/calls/terminal_bench_2__003
terminal_bench_2__004,terminal_bench_2,reduction_drop,69,78,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,9,404,segmented_choice,0.3,results/full/calls/terminal_bench_2__004
terminal_bench_2__005,terminal_bench_2,recall_miss,28,252,DiagnostAgent,DiagnostAgent,True,False,False,224,260,segmented_choice,0.35,results/full/calls/terminal_bench_2__005
terminal_bench_2__006,terminal_bench_2,final_wrong,53,5,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,48,131,segmented_choice,0.28,results/full/calls/terminal_bench_2__006
terminal_bench_2__007,terminal_bench_2,correct,28,28,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,True,True,0,159,segmented_choice,0.55,results/full/calls/terminal_bench_2__007
terminal_bench_2__008,terminal_bench_2,final_wrong,3,6,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,True,3,128,segmented_choice,0.38,results/full/calls/terminal_bench_2__008
terminal_bench_2__009,terminal_bench_2,reduction_drop,5,177,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,172,497,segmented_choice,0.15,results/full/calls/terminal_bench_2__009
terminal_bench_2__010,terminal_bench_2,correct,6,6,ActionAgent,ActionAgent,True,True,True,0,343,segmented_choice,0.24,results/full/calls/terminal_bench_2__010
terminal_bench_2__011,terminal_bench_2,reduction_drop,3,63,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,60,180,segmented_choice,0.34,results/full/calls/terminal_bench_2__011
terminal_bench_2__012,terminal_bench_2,correct,36,36,ActionAgent,ActionAgent,True,True,True,0,182,segmented_choice,0.8,results/full/calls/terminal_bench_2__012
terminal_bench_2__013,terminal_bench_2,correct,15,15,DiagnostAgent,DiagnostAgent,True,True,True,0,44,segmented_choice,0.9,results/full/calls/terminal_bench_2__013
terminal_bench_2__014,terminal_bench_2,correct,7,7,DiagnostAgent (-> ActionAgent),ActionAgent,False,True,True,0,206,segmented_choice,0.39,results/full/calls/terminal_bench_2__014
terminal_bench_2__015,terminal_bench_2,recall_miss,12,19,ActionAgent,JudgeAgent,False,False,False,7,54,segmented_choice,0.35,results/full/calls/terminal_bench_2__015
terminal_bench_2__016,terminal_bench_2,reduction_drop,398,5,JudgeAgent,ActionAgent,False,False,False,393,546,segmented_choice,0.72,results/full/calls/terminal_bench_2__016
terminal_bench_2__017,terminal_bench_2,reduction_drop,143,5,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,138,492,segmented_choice,0.37,results/full/calls/terminal_bench_2__017
terminal_bench_2__018,terminal_bench_2,correct,44,44,DiagnostAgent (-> ActionAgent),ActionAgent,False,True,True,0,202,segmented_choice,0.3,results/full/calls/terminal_bench_2__018
terminal_bench_2__019,terminal_bench_2,correct,130,130,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,True,True,0,463,segmented_choice,0.36,results/full/calls/terminal_bench_2__019
terminal_bench_2__020,terminal_bench_2,recall_miss,14,114,ActionAgent,ActionAgent,True,False,False,100,140,segmented_choice,0.12,results/full/calls/terminal_bench_2__020
terminal_bench_2__021,terminal_bench_2,recall_miss,14,5,ActionAgent,DiagnostAgent,False,False,False,9,137,segmented_choice,0.23,results/full/calls/terminal_bench_2__021
terminal_bench_2__022,terminal_bench_2,final_wrong,5,57,DiagnostAgent (-> ActionAgent),DiagnostAgent,True,False,False,52,189,segmented_choice,0.15,results/full/calls/terminal_bench_2__022
terminal_bench_2__023,terminal_bench_2,correct,20,20,ActionAgent,JudgeAgent,False,True,True,0,76,segmented_choice,0.13,results/full/calls/terminal_bench_2__023
terminal_bench_2__024,terminal_bench_2,correct,3,3,DiagnostAgent (-> ActionAgent),ActionAgent,False,True,True,0,84,segmented_choice,0.3,results/full/calls/terminal_bench_2__024
terminal_bench_2__025,terminal_bench_2,correct,73,73,ActionAgent,ActionAgent,True,True,True,0,204,segmented_choice,0.96,results/full/calls/terminal_bench_2__025
terminal_bench_2__026,terminal_bench_2,reduction_drop,51,22,ActionAgent,ActionAgent,True,False,False,29,229,segmented_choice,0.49,results/full/calls/terminal_bench_2__026
